https://github.com/AlDanial/cloc v 1.66  T=28.17 s (6.7 files/s, 733.9 lines/s)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                                                                                                                                                                                  blank        comment           code
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_commons_commons_lang3_3_3_2_jar.xml                                                                                                                                                                                                                       0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__commons_codec_commons_codec_1_4_jar.xml                                                                                                                                                                                                                              0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_roaringbitmap_RoaringBitmap_0_5_11_jar.xml                                                                                                                                                                                                                       0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__javax_activation_activation_1_1_jar.xml                                                                                                                                                                                                                              0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__io_netty_netty_3_8_0_Final_jar.xml                                                                                                                                                                                                                                   0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_google_protobuf_protobuf_java_2_5_0_jar.xml                                                                                                                                                                                                                      0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_hadoop_hadoop_yarn_common_2_2_0_jar.xml                                                                                                                                                                                                                   0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_tachyonproject_tachyon_underfs_s3_0_8_2_jar.xml                                                                                                                                                                                                                  0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_tukaani_xz_1_0_jar.xml                                                                                                                                                                                                                                           0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_sun_xml_bind_jaxb_impl_2_2_3_1_jar.xml                                                                                                                                                                                                                           0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__net_sf_py4j_py4j_0_9_jar.xml                                                                                                                                                                                                                                         0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__commons_net_commons_net_2_2_jar.xml                                                                                                                                                                                                                                  0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_scala_lang_scala_reflect_2_10_5_jar.xml                                                                                                                                                                                                                          0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_ning_compress_lzf_1_0_3_jar.xml                                                                                                                                                                                                                                  0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_commons_commons_compress_1_4_1_jar.xml                                                                                                                                                                                                                    0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_hadoop_hadoop_auth_2_2_0_jar.xml                                                                                                                                                                                                                          0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_spark_spark_unsafe_2_10_1_6_0_jar.xml                                                                                                                                                                                                                     0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_scala_lang_scala_reflect_2_11_7_jar.xml                                                                                                                                                                                                                          0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_hadoop_hadoop_mapreduce_client_common_2_2_0_jar.xml                                                                                                                                                                                                       0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_slf4j_jul_to_slf4j_1_7_10_jar.xml                                                                                                                                                                                                                                0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_eclipse_jetty_orbit_javax_servlet_3_0_0_v201112011016_jar.xml                                                                                                                                                                                                    0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__oro_oro_2_0_8_jar.xml                                                                                                                                                                                                                                                0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_esotericsoftware_kryo_kryo_2_21_jar.xml                                                                                                                                                                                                                          0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__net_razorvine_pyrolite_4_9_jar.xml                                                                                                                                                                                                                                   0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_curator_curator_recipes_2_4_0_jar.xml                                                                                                                                                                                                                     0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_hadoop_hadoop_mapreduce_client_app_2_2_0_jar.xml                                                                                                                                                                                                          0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_typesafe_config_1_2_1_jar.xml                                                                                                                                                                                                                                    0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_sun_jersey_jersey_core_1_9_jar.xml                                                                                                                                                                                                                               0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_codehaus_jackson_jackson_core_asl_1_9_13_jar.xml                                                                                                                                                                                                                 0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_scala_lang_scalap_2_10_0_jar.xml                                                                                                                                                                                                                                 0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__net_java_dev_jets3t_jets3t_0_7_1_jar.xml                                                                                                                                                                                                                             0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_codehaus_jackson_jackson_mapper_asl_1_9_13_jar.xml                                                                                                                                                                                                               0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_sonatype_sisu_inject_cglib_2_2_1_v20090111_jar.xml                                                                                                                                                                                                               0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_avro_avro_1_7_7_jar.xml                                                                                                                                                                                                                                   0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_spark_spark_launcher_2_10_1_6_0_jar.xml                                                                                                                                                                                                                   0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__javax_inject_javax_inject_1_jar.xml                                                                                                                                                                                                                                  0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__commons_collections_commons_collections_3_2_1_jar.xml                                                                                                                                                                                                                0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_xerial_snappy_snappy_java_1_1_2_jar.xml                                                                                                                                                                                                                          0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_codehaus_jettison_jettison_1_1_jar.xml                                                                                                                                                                                                                           0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_mortbay_jetty_jetty_util_6_1_26_jar.xml                                                                                                                                                                                                                          0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_json4s_json4s_jackson_2_10_3_2_10_jar.xml                                                                                                                                                                                                                        0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__javax_xml_bind_jaxb_api_2_2_2_jar.xml                                                                                                                                                                                                                                0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_spark_spark_core_2_10_1_6_0_jar.xml                                                                                                                                                                                                                       0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__commons_beanutils_commons_beanutils_1_7_0_jar.xml                                                                                                                                                                                                                    0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_twitter_chill_java_0_5_0_jar.xml                                                                                                                                                                                                                                 0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_tachyonproject_tachyon_underfs_hdfs_0_8_2_jar.xml                                                                                                                                                                                                                0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_spark_project_spark_unused_1_0_0_jar.xml                                                                                                                                                                                                                         0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_slf4j_slf4j_api_1_7_10_jar.xml                                                                                                                                                                                                                                   0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_json4s_json4s_core_2_10_3_2_10_jar.xml                                                                                                                                                                                                                           0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__commons_lang_commons_lang_2_5_jar.xml                                                                                                                                                                                                                                0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_hadoop_hadoop_annotations_2_2_0_jar.xml                                                                                                                                                                                                                   0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_esotericsoftware_minlog_minlog_1_2_jar.xml                                                                                                                                                                                                                       0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_twitter_chill_2_10_0_5_0_jar.xml                                                                                                                                                                                                                                 0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__io_dropwizard_metrics_metrics_core_3_1_2_jar.xml                                                                                                                                                                                                                     0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_objenesis_objenesis_1_2_jar.xml                                                                                                                                                                                                                                  0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__io_dropwizard_metrics_metrics_jvm_3_1_2_jar.xml                                                                                                                                                                                                                      0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__commons_configuration_commons_configuration_1_6_jar.xml                                                                                                                                                                                                              0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_ivy_ivy_2_4_0_jar.xml                                                                                                                                                                                                                                     0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_zookeeper_zookeeper_3_4_5_jar.xml                                                                                                                                                                                                                         0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__commons_cli_commons_cli_1_2_jar.xml                                                                                                                                                                                                                                  0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_scala_lang_modules_scala_xml_2_11_1_0_2_jar.xml                                                                                                                                                                                                                  0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_hadoop_hadoop_mapreduce_client_shuffle_2_2_0_jar.xml                                                                                                                                                                                                      0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_hadoop_hadoop_mapreduce_client_jobclient_2_2_0_jar.xml                                                                                                                                                                                                    0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__io_dropwizard_metrics_metrics_graphite_3_1_2_jar.xml                                                                                                                                                                                                                 0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_fusesource_leveldbjni_leveldbjni_all_1_8_jar.xml                                                                                                                                                                                                                 0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__io_dropwizard_metrics_metrics_json_3_1_2_jar.xml                                                                                                                                                                                                                     0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_typesafe_akka_akka_slf4j_2_10_2_3_11_jar.xml                                                                                                                                                                                                                     0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__net_jpountz_lz4_lz4_1_3_0_jar.xml                                                                                                                                                                                                                                    0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_avro_avro_ipc_1_7_7_jar.xml                                                                                                                                                                                                                               0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__commons_digester_commons_digester_1_8_jar.xml                                                                                                                                                                                                                        0              0             11
